Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,A1.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,20.259636077667786,-2.2873262322617585
,,A1.B001750.3_38_F.1.1,B cell,CL:0000236,4,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-14.543742748943645,-1.3900289762171505
,,A1.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,14.522271492895086,-1.7539980545086638
,,A1.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,21.50840555356361,8.870377962029972
,,A1.MAA000776.3_10_M.1.1,B cell,CL:0000236,3,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-16.915973090483533,24.4022260675178
,,A1.MAA000779.3_11_M.1.1,B cell,CL:0000236,0,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,8.15079655689788,26.163073272300483
,,A10.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-38.15193207503011,-4.957907968898187
,,A10.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-25.62068437880249,-11.495839806230526
,,A10.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-33.164983999458045,-3.384042187799466
,,A10.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,3.8865228877758407,27.57097427976882
,,A10.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-7.890170714414861,26.83817415866044
,,A11.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,22.034615672593265,-15.74495541996028
,,A11.B001750.3_38_F.1.1,macrophage,CL:0000235,5,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-18.422270734264753,-39.590259251023326
,,A11.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,18.36844663427576,-13.972394847574549
,,A11.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,12.360429490388734,6.682921184804635
,,A11.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-4.227435728744632,21.167445580687342
,,A12.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-13.130644171087608,-22.566312959598196
,,A12.MAA000508.3_9_M.1.1,macrophage,CL:0000235,5,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-18.190130210477268,-41.771643513995365
,,A12.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,20.25572098215556,11.693224831436574
,,A12.MAA000776.3_10_M.1.1,B cell,CL:0000236,4,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-4.534813068755419,-6.661479007798941
,,A12.MAA000779.3_11_M.1.1,B cell,CL:0000236,0,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,16.176546674741303,3.519496968117192
,,A13.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,23.005836868129077,7.738945282003959
,,A13.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,20.9451428614178,-17.695414847019652
,,A13.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,16.173003862175072,17.294634701875427
,,A13.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-5.409767415010721,-28.69686585623232
,,A13.MAA000779.3_11_M.1.1,B cell,CL:0000236,0,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,14.738299525393789,13.369179661481828
,,A14.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,22.57728076202831,21.762508314311532
,,A14.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-26.99528155917799,-16.317076236668164
,,A14.MAA000508.3_9_M.1.1,macrophage,CL:0000235,5,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-15.022754211161311,-39.76734105940868
,,A14.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-9.057876698356964,-27.688540311517077
,,A14.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.44292164543101,-21.3384790625276
,,A15.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,23.096989160895863,16.399194072345953
,,A15.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,9.46401910403732,2.3817127716682407
,,A15.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,20.927144637750896,-12.159597097502616
